DEBUG:root:[1583131353380];
DEBUG:root:[1583133385196]X:357;Y:364;Z:437;V:418;
DEBUG:root:[1583133385217]X:358;Y:363;Z:435;V:512;
DEBUG:root:[1583133385245]X:358;Y:365;Z:442;V:351;
DEBUG:root:[1583133385270]X:359;Y:366;Z:434;V:462;
DEBUG:root:[1583133385298]X:356;Y:366;Z:436;V:504;
DEBUG:root:[1583133385323]X:356;Y:364;Z:435;V:344;
DEBUG:root:[1583133385351]X:355;Y:357;Z:431;V:478;
DEBUG:root:[1583133385380]X:356;Y:362;Z:434;V:470;
DEBUG:root:[1583133385405]X:356;Y:364;Z:438;V:337;
DEBUG:root:[1583133385434]X:358;Y:363;Z:435;V:501;
DEBUG:root:[1583133385458]X:356;Y:363;Z:441;V:437;
DEBUG:root:[1583133385487]X:357;Y:363;Z:436;V:348;
DEBUG:root:[1583133385515]X:356;Y:362;Z:439;V:518;
DEBUG:root:[1583133385540]X:356;Y:363;Z:437;V:413;
DEBUG:root:[1583133385568]X:358;Y:363;Z:436;V:355;
DEBUG:root:[1583133385594]X:356;Y:363;Z:436;V:533;
DEBUG:root:[1583133385622]X:357;Y:363;Z:437;V:386;
DEBUG:root:[1583133385651]X:356;Y:363;Z:437;V:378;
DEBUG:root:[1583133385675]X:356;Y:365;Z:443;V:541;
DEBUG:root:[1583133385704]X:357;Y:372;Z:440;V:358;
DEBUG:root:[1583133385728]X:357;Y:366;Z:437;V:412;
DEBUG:root:[1583133385758]X:352;Y:357;Z:438;V:533;
DEBUG:root:[1583133385785]X:355;Y:354;Z:438;V:335;
DEBUG:root:[1583133385811]X:356;Y:362;Z:437;V:450;
DEBUG:root:[1583133385839]X:360;Y:364;Z:434;V:513;
DEBUG:root:[1583133385865]X:356;Y:365;Z:444;V:323;
DEBUG:root:[1583133385892]X:367;Y:380;Z:438;V:481;
DEBUG:root:[1583133385921]X:359;Y:385;Z:395;V:483;
DEBUG:root:[1583133385945]X:357;Y:367;Z:436;V:329;
DEBUG:root:[1583133385974]X:361;Y:364;Z:437;V:511;
DEBUG:root:[1583133385999]X:357;Y:364;Z:446;V:443;
DEBUG:root:[1583133386027]X:356;Y:363;Z:440;V:336;
DEBUG:root:[1583133386056]X:362;Y:364;Z:437;V:524;
DEBUG:root:[1583133386080]X:357;Y:365;Z:441;V:413;
DEBUG:root:[1583133386109]X:360;Y:363;Z:444;V:358;
DEBUG:root:[1583133386134]X:356;Y:367;Z:436;V:537;
DEBUG:root:[1583133386163]X:358;Y:364;Z:437;V:380;
DEBUG:root:[1583133386190]X:358;Y:364;Z:442;V:389;
DEBUG:root:[1583133386216]X:358;Y:367;Z:445;V:550;
DEBUG:root:[1583133386244]X:358;Y:361;Z:439;V:349;
DEBUG:root:[1583133386269]X:356;Y:366;Z:435;V:423;
DEBUG:root:[1583133386297]X:357;Y:363;Z:436;V:539;
DEBUG:root:[1583133386326]X:356;Y:362;Z:437;V:328;
DEBUG:root:[1583133386351]X:357;Y:366;Z:442;V:460;
DEBUG:root:[1583133386380]X:357;Y:364;Z:439;V:509;
DEBUG:root:[1583133386405]X:358;Y:363;Z:437;V:315;
DEBUG:root:[1583133386433]X:357;Y:364;Z:440;V:489;
DEBUG:root:[1583133386461]X:359;Y:364;Z:435;V:473;
DEBUG:root:[1583133386486]X:357;Y:368;Z:439;V:327;
DEBUG:root:[1583133386514]X:361;Y:364;Z:435;V:515;
DEBUG:root:[1583133386540]X:356;Y:361;Z:436;V:437;
DEBUG:root:[1583133386567]X:357;Y:359;Z:436;V:336;
DEBUG:root:[1583133386597]X:358;Y:363;Z:435;V:535;
DEBUG:root:[1583133386621]X:356;Y:364;Z:436;V:399;
